,MASTER FILE NUMBER,INVESTIGATING AGENCY,LOCAL CODE,COLLISION STATUS CODE,COUNTY NAME,ROADWAY NUMBER,BLOCK/HOUSE #,ROADWAY NAME,ROADWAY SUFFIX,ROADWAY DIRECTION CODE,GPS LATITUDE DECIMAL,GPS LONGITUDE DECIMAL,MILEPOINT DERIVED,COLLISION DATE,COLLISION TIME,INTERSECTION ROADWAY #,INTERSECTION ROADWAY NAME,INTERSECTION ROADWAY SFX,BETWEEN STREET ROADWAY # 1,BETWEEN STREET ROADWAY NAME 1,BETWEEN STREET ROADWAY SFX 1,BETWEEN STREET ROADWAY # 2,BETWEEN STREET ROADWAY NAME 2,BETWEEN STREET ROADWAY SFX 2,UNITS INVOLVED,MOTOR VEHICLES INVOLVED,KILLED,INJURED,WEATHER CODE,WEATHER,ROADWAY CONDITION CODE,ROADWAY CONDITION,HIT & RUN INDICATOR,ROADWAY TYPE CODE,ROADWAY TYPE,DIRECTIONAL ANALYSIS CODE,DIRECTIONAL ANALYSIS,MANNER OF COLLISION CODE,MANNER OF COLLISION,ROADWAY CHARACTER CODE,ROADWAY CHARACTER,LIGHT CONDITION CODE,LIGHT CONDITION,RAMP FROM ROADWAY ID,RAMP TO ROADWAY ID,SECONDARY COLLISION INDICATOR,hour,minute,Date,Latitude,Longitude,geometry,index_right
68320,71134797,LOUISVILLE METRO POLICE DEPT,8012025953,AC,56,,,ALTA VISTA,RD   ,,38.2409979,-85.6874386,0.309,4/3/2012,1607,,,,,MAPLE,RD   ,,BEALS BRANCH,RD   ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,1.0,CURVE & GRADE,2.0,DAYLIGHT,,,N,16,07,2012-04-03 16:07:00,38.2409979,-85.6874386,POINT (-85.68743859999999 38.2409979),0
68581,71135992,LOUISVILLE METRO POLICE DEPT,8012026690,AC,56,,,HASKIN,AVE  ,,38.1725341,-85.7819755,0.0,4/5/2012,1900,KY1865  ,TAYLOR,BLVD ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,19,00,2012-04-05 19:00:00,38.1725341,-85.7819755,POINT (-85.7819755 38.1725341),0
68692,71136863,LOUISVILLE METRO POLICE DEPT,8012027028,AC,56,,,6TH,ST   ,S ,38.2463243,-85.7617167,0.742,4/6/2012,100000,US0150  ,BROADWAY,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,00,2012-04-06 10:00:00,38.2463243,-85.7617167,POINT (-85.76171669999999 38.2463243),0
68758,71137065,LOUISVILLE METRO POLICE DEPT,8012027249,AC,56,,,BARRET HILL,RD   ,,38.2373022,-85.6901282,0.559,4/7/2012,1600,,PARK BOUNDARY,RD   ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,4.0,STRAIGHT & GRADE,2.0,DAYLIGHT,,,N,16,00,2012-04-07 16:00:00,38.2373022,-85.6901282,POINT (-85.6901282 38.2373022),0
68954,71138451,LOUISVILLE METRO POLICE DEPT,8012026452,AC,56,US0031W ,,2ND,ST   ,S ,38.2561125,-85.7532983,22.123,4/5/2012,0005,,,,US0031E ,MAIN,ST   ,US0031E,MARKET,ST   ,2,1,0,0,6.0,RAINING,5.0,WET,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,00,05,2012-04-05 00:05:00,38.2561125,-85.7532983,POINT (-85.7532983 38.2561125),0
68983,71138582,LOUISVILLE METRO POLICE DEPT,8012028444,AC,56,KY1631  ,,CRITTENDEN,DR   ,,38.1940132,-85.7509267,0.421,4/12/2012,0655,,HURON,AVE  ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,06,55,2012-04-12 06:55:00,38.1940132,-85.7509267,POINT (-85.75092669999999 38.1940132),0
69111,71139182,JEFFERSONTOWN POLICE DEPT,A0426492  ,AC,56,KY0155  ,,TAYLORSVILLE,RD   ,,38.1998912,-85.5713871,9.855,4/13/2012,1358,,GRAND,AVE  ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,1.0,CURVE & GRADE,2.0,DAYLIGHT,,,N,13,58,2012-04-13 13:58:00,38.1998912,-85.5713871,POINT (-85.5713871 38.1998912),0
69796,71142375,LOUISVILLE METRO POLICE DEPT,8012031467,AC,56,,,BROOK,ST   ,S ,38.241315,-85.752539,2.787,4/22/2012,1620,,BRECKINRIDGE,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,16,20,2012-04-22 16:20:00,38.241315,-85.752539,POINT (-85.752539 38.241315),0
70169,71144280,LOUISVILLE METRO POLICE DEPT,8012032791,AC,56,,,STRADER,AVE  ,,38.1911295,-85.7837235,0.023,4/26/2012,1850,KY1865  ,TAYLOR,BLVD ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,18,50,2012-04-26 18:50:00,38.1911295,-85.7837235,POINT (-85.78372349999999 38.1911295),0
70573,71146172,LOUISVILLE METRO POLICE DEPT,8012034251,AC,56,,,17TH,ST   ,S ,38.2497055,-85.779737,0.555,5/1/2012,1834,,,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,1.0,DAWN,,,Y,18,34,2012-05-01 18:34:00,38.2497055,-85.779737,POINT (-85.779737 38.2497055),0
70748,71147794,LOUISVILLE METRO POLICE DEPT,8012029930,AC,56,,,BROADWAY,,W ,38.2497015,-85.8018214,0.742,4/17/2012,1349,,,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,13,49,2012-04-17 13:49:00,38.2497015,-85.8018214,POINT (-85.80182139999999 38.2497015),0
70793,71147880,LOUISVILLE METRO POLICE DEPT,8012034856,AC,56,KY0061  ,,PRESTON,HWY  ,,38.171236,-85.7091755,6.56,5/3/2012,1746,,LORETTA,ST   ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,17,46,2012-05-03 17:46:00,38.171236,-85.7091755,POINT (-85.7091755 38.171236),0
70828,71147862,LOUISVILLE METRO POLICE DEPT,8012034811,AC,56,,,INVERNESS,AVE  ,,38.1670298,-85.7648886,0.006,5/3/2012,1615,,,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,16,15,2012-05-03 16:15:00,38.1670298,-85.7648886,POINT (-85.76488860000001 38.1670298),0
70862,71147932,LOUISVILLE METRO POLICE DEPT,8012035068,AC,56,,,ROY WILKINS,AVE  ,,38.2498525,-85.7659933,0.537,5/4/2012,1009,,,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,09,2012-05-04 10:09:00,38.2498525,-85.7659933,POINT (-85.76599330000001 38.2498525),0
71023,71148065,LOUISVILLE METRO POLICE DEPT,8012035588,AC,56,,,CENTRAL,AVE  ,,38.2063312,-85.7762696,1.028,5/5/2012,2300,US0060A ,TAYLOR,BLVD ,,,,,,,2,1,0,0,3.0,CLOUDY,1.0,DRY,Y,99.0,NONE OF THE ABOVE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,23,00,2012-05-05 23:00:00,38.2063312,-85.7762696,POINT (-85.77626960000001 38.2063312),0
71454,71151009,LOUISVILLE METRO POLICE DEPT,8012037049,AC,56,,,DUNCAN,ST   ,,38.2633986,-85.7932794,0.897,5/10/2012,1637,,26TH,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,16,37,2012-05-10 16:37:00,38.2633986,-85.7932794,POINT (-85.7932794 38.2633986),0
71791,71151878,LOUISVILLE METRO POLICE DEPT,8012038215,AC,56,KY1931  ,,MANSLICK,RD   ,,38.1959538,-85.79908,8.441,5/14/2012,1740,,CONN,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,3.0,CURVE & LEVEL,2.0,DAYLIGHT,,,N,17,40,2012-05-14 17:40:00,38.1959538,-85.79908,POINT (-85.79908 38.1959538),0
72057,71154099,LOUISVILLE METRO POLICE DEPT,8012037599,AC,56,,,THEILER,LN   ,,38.1147215,-85.6464066,0.134,5/12/2012,1515,,NEW MAPLE,RD   ,,,,,,,2,1,0,1,3.0,CLOUDY,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,15,15,2012-05-12 15:15:00,38.1147215,-85.6464066,POINT (-85.64640660000001 38.1147215),0
72433,71155768,LOUISVILLE METRO POLICE DEPT,8012040779,AC,56,,,CARDINAL,BLVD ,W ,38.220703,-85.7621563,0.235,5/23/2012,1200,,,,KY1020  ,3RD,ST   ,,4TH,ST   ,2,1,0,0,2.0,CLEAR,1.0,DRY,Y,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,12,00,2012-05-23 12:00:00,38.220703,-85.7621563,POINT (-85.7621563 38.220703),0
72697,71157738,LOUISVILLE METRO POLICE DEPT,8012041012,AC,56,KY1865  ,,TAYLOR,BLVD ,,38.1943381,-85.7831716,6.062,5/27/2012,1751,,CARLISLE,AVE  ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,Y,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,17,51,2012-05-27 17:51:00,38.1943381,-85.7831716,POINT (-85.7831716 38.1943381),0
72812,71157873,LOUISVILLE METRO POLICE DEPT,8012041919,AC,56,US0031W ,,MARKET,ST   ,W ,38.2564806,-85.7680489,21.208,5/27/2012,000001,,,,,11TH,ST   ,,CHAPEL,ST   ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,00,00,2012-05-27 00:00:00,38.2564806,-85.7680489,POINT (-85.7680489 38.2564806),0
72973,71158010,LOUISVILLE METRO POLICE DEPT,8012042604,AC,56,,,LONG RUN PARK,RD   ,,38.2653868,-85.4143887,0.659,5/29/2012,1922,,,,,,,,,,2,1,0,1,3.0,CLOUDY,1.0,DRY,N,99.0,NONE OF THE ABOVE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,2.0,CURVE & HILLCREST,2.0,DAYLIGHT,,,N,19,22,2012-05-29 19:22:00,38.2653868,-85.4143887,POINT (-85.4143887 38.2653868),0
73158,71158891,LOUISVILLE METRO POLICE DEPT,8012043249,AC,56,,,WASHBURN,AVE  ,,38.2620923,-85.6185718,0.652,5/31/2012,1902,,CENTRAL,AVE  ,,,,,,,2,1,0,1,6.0,RAINING,5.0,WET,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,19,02,2012-05-31 19:02:00,38.2620923,-85.6185718,POINT (-85.6185718 38.2620923),0
73207,71159629,LOUISVILLE METRO POLICE DEPT,8012043176,AC,56,,,BROOK,ST   ,S ,38.2505292,-85.7516033,3.433,5/31/2012,1532,,MUHAMMAD ALI,BLVD ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,15,32,2012-05-31 15:32:00,38.2505292,-85.7516033,POINT (-85.7516033 38.2505292),0
73689,71161713,LOUISVILLE METRO POLICE DEPT,8012045140,AC,56,,,32ND,ST   ,S ,38.2416023,-85.8064504,1.035,6/7/2012,1205,,GRAND,AVE  ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,12,05,2012-06-07 12:05:00,38.2416023,-85.8064504,POINT (-85.8064504 38.2416023),0
73781,71162343,LOUISVILLE METRO POLICE DEPT,8012044810,AC,56,,,7TH,ST   ,S ,38.2464772,-85.7633332,2.024,6/6/2012,1151,US0150  ,BROADWAY,,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,11,51,2012-06-06 11:51:00,38.2464772,-85.7633332,POINT (-85.76333320000001 38.2464772),0
74203,71164100,LOUISVILLE METRO POLICE DEPT,8012046842,AC,56,,,TENNY,AVE  ,W ,38.1769186,-85.767051,0.078,6/13/2012,1005,,3RD,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,05,2012-06-13 10:05:00,38.1769186,-85.767051,POINT (-85.767051 38.1769186),0
74265,71164538,LOUISVILLE METRO POLICE DEPT,8012047237,AC,56,,,NORTON HEALTHCARE,BLVD ,,38.312028,-85.5712926,0.102,6/14/2012,1652,,VON ALLMEN,CT   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,1.0,DAWN,,,N,16,52,2012-06-14 16:52:00,38.312028,-85.5712926,POINT (-85.57129260000001 38.312028),0
74443,71165462,LOUISVILLE METRO POLICE DEPT,8012047796,AC,56,US0060A ,,EASTERN,PKWY ,,38.213991,-85.7441949,4.477,6/16/2012,1051,,,,,ELLSWORTH,AVE  ,KY0061,PRESTON,ST   ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,51,2012-06-16 10:51:00,38.213991,-85.7441949,POINT (-85.7441949 38.213991),0
74609,71166066,LOUISVILLE METRO POLICE DEPT,8012048457,AC,56,,,DAISY,AVE  ,,38.1490447,-85.8498995,0.35,6/18/2012,1756,,PRINCETON,AVE  ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,17,56,2012-06-18 17:56:00,38.1490447,-85.8498995,POINT (-85.84989950000001 38.1490447),0
74746,71167277,LOUISVILLE METRO POLICE DEPT,8012045458,AC,56,,,BROADWAY,,W ,38.249566,-85.7982802,0.549,6/5/2012,1300,,28TH,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,Y,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,13,00,2012-06-05 13:00:00,38.249566,-85.7982802,POINT (-85.79828019999999 38.249566),0
74939,71168130,LOUISVILLE METRO POLICE DEPT,8012049799,AC,56,,,KIRBY,AVE  ,,38.236373,-85.8106657,0.062,5/7/2012,2230,,34TH,ST   ,,,,,,,2,1,0,1,6.0,RAINING,5.0,WET,Y,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,22,30,2012-05-07 22:30:00,38.236373,-85.8106657,POINT (-85.8106657 38.236373),0
75264,71169582,LOUISVILLE METRO POLICE DEPT,8012041114,AC,56,,3600.0,DUMESNIL,ST   ,,38.2381448,-85.8154649,0.258,5/23/2012,0500,,,,,,,,,,2,1,0,0,97.0,OTHER,1.0,DRY,Y,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,05,00,2012-05-23 05:00:00,38.2381448,-85.8154649,POINT (-85.81546489999999 38.2381448),0
75277,71169607,LOUISVILLE METRO POLICE DEPT,8012050887,AC,56,,,MUHAMMAD ALI,BLVD ,E ,38.2500202,-85.7468211,0.725,6/26/2012,2121,KY0061  ,PRESTON,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,21,21,2012-06-26 21:21:00,38.2500202,-85.7468211,POINT (-85.74682110000001 38.2500202),0
75330,71169618,LOUISVILLE METRO POLICE DEPT,8012050988,AC,56,I 0264  ,,,,,38.1943827,-85.7072832,0.305,6/27/2012,0930,,,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,4.0,INTERSTATE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,4.0,STRAIGHT & GRADE,2.0,DAYLIGHT,,,N,09,30,2012-06-27 09:30:00,38.1943827,-85.7072832,POINT (-85.70728320000001 38.1943827),0
75348,71169654,LOUISVILLE METRO POLICE DEPT,8012051151,AC,56,,3804.0,SOUTHERN,PKWY ,,38.180916,-85.7697026,0.093,6/27/2012,1840,,,,,,,,,,3,1,0,2,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,18,40,2012-06-27 18:40:00,38.180916,-85.7697026,POINT (-85.7697026 38.180916),0
75493,71170793,LOUISVILLE METRO POLICE DEPT,8012051432,AC,56,,,KENTON,ST   ,E ,38.1982434,-85.7607983,0.043,6/28/2012,100005,,RANKIN,ST   ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,10,00,2012-06-28 10:00:00,38.1982434,-85.7607983,POINT (-85.7607983 38.1982434),0
75706,71172620,LOUISVILLE METRO POLICE DEPT,8012051684,AC,56,KY2251  ,,BARDSTOWN,RD   ,,38.2001838,-85.6624557,1.191,6/29/2012,1500,US0031E ,BUECHEL,BYP  ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,Y,7.0,STATE,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,15,00,2012-06-29 15:00:00,38.2001838,-85.6624557,POINT (-85.6624557 38.2001838),0
75741,71171844,LOUISVILLE METRO POLICE DEPT,8012051623,AC,56,US0150  ,,BROADWAY,,W ,38.2464515,-85.7633706,2.105,6/29/2012,1203,,7TH,ST   ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,Y,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,3.0,CURVE & LEVEL,2.0,DAYLIGHT,,,N,12,03,2012-06-29 12:03:00,38.2464515,-85.7633706,POINT (-85.7633706 38.2464515),0
75809,559494,LOUISVILLE METRO POLICE DEPT,8012052840,AC,56,US0031  ,,BARDSTOWN,,,38.217016667,-85.683366667,,7/3/2012,1735,,,,,TRAVILLIAN,WAY  ,,LAKESIDE,DR   ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,,17,35,2012-07-03 17:35:00,38.217016667,-85.683366667,POINT (-85.683366667 38.217016667),0
76070,1816614,LOUISVILLE METRO POLICE DEPT,8012068499,AC,56,,,SHELBYVILLE,RD   ,,38.2452,-85.559183333,,8/27/2012,1745,,MOSER,RD   ,,,,,,,2,1,0,1,3.0,CLOUDY,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,1.0,ANGLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,,17,45,2012-08-27 17:45:00,38.2452,-85.559183333,POINT (-85.55918333299999 38.2452),0
76136,1925394,LOUISVILLE METRO POLICE DEPT,8012065990,AC,56,,,36TH,ST   ,,38.2479,-85.81095,,8/18/2012,1955,,DOERHOEFER,,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,1.0,ANGLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,,19,55,2012-08-18 19:55:00,38.2479,-85.81095,POINT (-85.81095000000001 38.2479),0
76261,1952002,LOUISVILLE METRO POLICE DEPT,8012054981,AC,56,,,7TH STREET,RD   ,,38.219583333,-85.77175,,7/11/2012,1640,,INDUSTRY,RD   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,1.0,ANGLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,,16,40,2012-07-11 16:40:00,38.219583333,-85.77175,POINT (-85.77175 38.219583333),0
76268,1954056,LOUISVILLE METRO POLICE DEPT,8012076296,AC,56,,,POINSETTIA,DR   ,,38.138,-85.85725,,9/24/2012,1831,,,,,AZALEA,LN   ,,JESSAMINE,DR   ,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,37.0,COLLISION WITH BICYCLIST,1.0,ANGLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,,18,31,2012-09-24 18:31:00,38.138,-85.85725,POINT (-85.85724999999999 38.138),0
76272,1959986,LOUISVILLE METRO POLICE DEPT,8012067992,AC,56,,,40TH,ST   ,,38.201666667,-85.536666667,,8/25/2012,2030,,KENTUCKY,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,1.0,ANGLE,6.0,STRAIGHT & LEVEL,3.0,DUSK,,,,20,30,2012-08-25 20:30:00,38.201666667,-85.536666667,POINT (-85.53666666700001 38.201666667),0
76282,1951103,LOUISVILLE METRO POLICE DEPT,8012070216,AC,56,,,CECIL,AVE  ,,38.251666667,-85.82,,9/2/2012,1653,,ELLIOTT,AVE  ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,1.0,ANGLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,,16,53,2012-09-02 16:53:00,38.251666667,-85.82,POINT (-85.81999999999999 38.251666667),0
76460,71172228,LOUISVILLE METRO POLICE DEPT,8012052891,AC,56,US0031E ,,MARKET,ST   ,W ,38.2549492,-85.7535902,17.8,7/3/2012,2015,KY1020  ,2ND,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,2.0,FEDERAL,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,3.0,DUSK,,,N,20,15,2012-07-03 20:15:00,38.2549492,-85.7535902,POINT (-85.7535902 38.2549492),0
76557,71172752,LOUISVILLE METRO POLICE DEPT,8012053577,AC,56,,,MANNER DALE,DR   ,,38.2025698,-85.6223878,0.001,7/6/2012,1103,KY1932  ,BRECKENRIDGE,LN   ,,,,,,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,11,03,2012-07-06 11:03:00,38.2025698,-85.6223878,POINT (-85.6223878 38.2025698),0
76623,71173392,LOUISVILLE METRO POLICE DEPT,8012053497,AC,56,,,MUHAMMAD ALI,BLVD ,W ,38.2524461,-85.7690858,0.91,7/5/2012,2338,,11TH,ST   ,,,,,,,2,1,0,1,2.0,CLEAR,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,5.0,DARK-HWY LIGHTED/ON,,,N,23,38,2012-07-05 23:38:00,38.2524461,-85.7690858,POINT (-85.7690858 38.2524461),0
76705,71174030,LOUISVILLE METRO POLICE DEPT,8012054322,AC,56,,,PRINCETON,DR   ,,38.2251652,-85.6952648,0.001,7/9/2012,1155,US0031E ,BARDSTOWN,RD   ,,,,,,,2,1,0,1,3.0,CLOUDY,1.0,DRY,N,5.0,LOCAL STREET,2.0,COLLISION WITH BICYCLE,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,11,55,2012-07-09 11:55:00,38.2251652,-85.6952648,POINT (-85.6952648 38.2251652),0
76803,71174045,LOUISVILLE METRO POLICE DEPT,8012054431,AC,56,KY1020  ,,2ND,ST   ,S ,38.2468082,-85.7548792,12.165,7/9/2012,1810,,,,,CHESTNUT,ST   ,US0150,BROADWAY,,2,1,0,0,2.0,CLEAR,1.0,DRY,N,7.0,STATE,37.0,COLLISION WITH BICYCLIST,9.0,SINGLE VEHICLE,6.0,STRAIGHT & LEVEL,2.0,DAYLIGHT,,,N,18,10,2012-07-09 18:10:00,38.2468082,-85.7548792,POINT (-85.7548792 38.2468082),0
